ISO 639-3,Language,Filename,WALS 116A,GB 107,WALS 81A,Title,Family,Subfamily,Genus,Macroarea,Author,Year,Pages,RAG,CoT,Question,Result
alr,Alutor,kibrik2004language,Not mentioned in the grammar,1,No dominant order,Language and folklore of the Alutor people,Chukotko-Kamchatkan,,Northern Chukotko-Kamchatkan,Eurasia,"Kibrik, Aleksandr E. and Kodzasov, Sandro V. and Muravyova, Irina A.",2004,687,1,0,GB 107,1
tha,Thai,campbell1957fundamentals,Clause-final question particle,0,SVO,The fundamentals of the Thai language,Tai-Kadai,,Kam-Tai,Eurasia,"Campbell, Stuart and Shaweevongse, Chaun",1957,632,1,0,GB 107,1
nio,Nganasan,wagner2018grammar,"Interrogative intonation only, Interrogative verb morphology",0,SOV,A grammar of Nganasan,Uralic,,Samoyedic,Eurasia,"Wagner-Nagy, Beáta Boglárka",2019,602,1,0,GB 107,0
niv,Nivkh (South Sakhalin),vajda2006mattissen,Clause-final question particle,1,SOV,Dependent-Head Synthesis in Nivkh: A contribution to a typology of polysynthesis,Nivkh,,Nivkh,Eurasia,"Mattissen, Johanna",2003,360,1,0,GB 107,1
anq,Jarawa (in Andamans),kumar2012descriptive,Clause-initial question particle,1,SOV,Descriptive and typological study of Jarawa,South Andamanese,,South Andamanese,Eurasia,"Kumar, Pramod",2012,357,1,0,GB 107,1
nll,Nahali,nagaraja2014nihali,Not mentioned in the grammar,1,SOV,"The Nihali Language (Grammar, Texts, Vocabulary)",Nahali,,Nahali,Eurasia,"Nagaraja, K. S.",2014,344,1,0,GB 107,1
kgg,Kusunda,watters2006notes,Not mentioned in the grammar,1,SOV,Notes on Kusunda Grammar: A Language Isolate of Nepal,Kusunda,,Kusunda,Eurasia,"Watters, David E.",2006,182,1,0,GB 107,1
ude,Udihe,nikolaeva2001grammar,Interrogative intonation only,0,SOV,A Grammar of Udihe,Altaic,,Tungusic,Eurasia,"Nikolaeva, Irina and Tolskaya, Maria",2001,1002,1,0,GB 107,0
inh,Ingush,nichols2011ingush,Interrogative verb morphology,1,No dominant order,Ingush Grammar,Nakh-Daghestanian,,Nakh,Eurasia,"Nichols, Johanna",2011,824,1,0,GB 107,1
lez,Lezgian,haspelmath1993grammar,"Clause-initial question particle, Interrogative verb morphology",1,SOV,A Grammar of Lezgian,Nakh-Daghestanian,Daghestanian,Lezgic,Eurasia,"Haspelmath, Martin",1993,587,1,0,GB 107,1
adl,Galo,post2007grammar,"Clause-final question particle, Clause-medial question particle",1,SOV,A Grammar of Galo,Sino-Tibetan,Tibeto-Burman,Tani,Eurasia,"Post, Mark",2007,947,1,0,GB 107,1
esu,Yup'ik (Norton Sound),miyaoka2012grammar,"Interrogative intonation only, Second position question particle",1,SOV,A grammar of Central Alaskan Yupik: An Eskimo Language,Eskimo-Aleut,,Eskimo,North America,"Miyaoka, Osahito",2012,1709,1,0,GB 107,1
yuk,Yuki,balodis2011yuki,Interrogative verb morphology,1,No dominant order,Yuki Grammar in its Areal Context with sketches of Huchnom and Coast Yuki,Wappo-Yukian,,Yuki,North America,"Balodis, Uldis Ivars Jānis",2011,1053,1,0,GB 107,1
ppl,Pipil,campbell1985pipil,Interrogative intonation only,0,No dominant order,The Pipil Language of El Salvador,Uto-Aztecan,,Aztecan,North America,"Campbell, Lyle",1985,971,1,0,GB 107,0
mic,Micmac,fidelholtz1968micmac,Not mentioned in the grammar,1,VOS,Micmac morphophonemics,Algic,,Algonquian,North America,"Fidelholtz, James L.",1968,808,1,0,GB 107,1
tee,Tepehua (Huehuetla),kung2007descriptive,"Clause-initial question particle, Interrogative intonation only",0,No dominant order,A Descriptive Grammar of Huehuetla Tepehua,Totonacan,,Totonacan,North America,"Kung, Susan Smythe",2007,750,1,0,GB 107,1
hur,Musqueam,galloway1977grammar,"Clause-medial question particle, Interrogative verb morphology",0,VSO,A Grammar of Chilliwack Halkomelem,Salishan,,Central Salish,North America,"Galloway, Brent Douglas",1977,722,1,0,GB 107,0
oma,Omaha,awakuni2018omaha,Clause-final question particle,1,SOV,The Omaha Language and the Omaha Way: An Introduction to Omaha Language and Culture,Siouan,,Mississippi Valley Siouan,North America,"Awakuni-Swetland, Mark and Canby, Alberta Grant and Sanchez, Emmaline Walker and Larson, Rory and Walker, Arlene and Black, Delores and Krug, Aubrey Streit and Frerichs, Loren H.",2018,707,1,0,GB 107,1
was,Washo,jacobsen1964grammar,Interrogative verb morphology,1,SOV,A Grammar of the Washo Language,Washo,,Washo,North America,"Jacobsen and Jr. and H., William",1964,701,1,0,GB 107,1
cku,Koasati,kimball1991koasati,Interrogative verb morphology,1,SOV,Koasati Grammar,Muskogean,,Muskogean,North America,"Kimball, Geoffrey D.",1991,666,1,0,GB 107,1
boi,Chumash (Barbareño),wash2001adverbial,Not mentioned in the grammar,1,VOS,Adverbial Clauses in Barbareño Chumash Narrative Discourse,Chumash,,Chumash,North America,"Wash, Suzanne Maria",2001,591,1,0,GB 107,1
yuc,Yuchi,linn2001grammar,"Clause-initial question particle, Interrogative intonation only, Second position question particle",1,SOV,A grammar of Euchee (Yuchi),Yuchi,,Yuchi,North America,"Linn, Mary Sarah",2001,564,1,0,GB 107,1
aes,Alsea,frachtenberg1918alsea,Interrogative verb morphology,0,Not mentioned in the grammar,Alsea Grammar,Oregon Coast,,Alsea,North America,"Frachtenberg, Leo Joachim",1918,431,1,0,GB 107,1
ari,Arikara,parks1979introduction,Interrogative verb morphology,1,No dominant order,An introduction to the Arikara language,Caddoan,,Northern Caddoan,North America,"Parks, Douglas and Beltran, Janet and Waters, Ella",1979,422,1,0,GB 107,1
tkm,Takelma,sapir1912takelma,Second position question particle,0,Not mentioned in the grammar,The Takelma Language of Southwestern Oregon,Takelma,,Takelma,North America,"Sapir, Edward",1909,304,1,0,GB 107,0
tow,Jemez,yumitani1998phonology,Second position question particle,1,Not mentioned in the grammar,A Phonology and Morphology of Jemez Towa,Kiowa-Tanoan,,Kiowa-Tanoan,North America,"Yumitani, Yukihiro",1998,298,1,0,GB 107,1
zun,Zuni,nichols1997topics,Not mentioned in the grammar,1,SOV,Topics in Zuni Syntax,Zuni,,Zuni,North America,"Nichols, Lynn",1997,289,1,0,GB 107,1
rma,Rama,grinevald1990grammar,Not mentioned in the grammar,1,SOV,A Grammar of Rama,Chibchan,,Rama,North America,"Grinevald, Colette G.",no date,284,1,0,GB 107,1
tqw,Tonkawa,hoijer1933tonkawa,Interrogative verb morphology,1,SOV,Tonkawa,Tonkawa,,Tonkawa,North America,"Hoijer, Harry",1933-1938,148,1,0,GB 107,1
tun,Tunica,haas1940tunica,Interrogative verb morphology,1,SOV,Tunica,Tunica,,Tunica,North America,"Haas, Mary R.",1941,143,1,0,GB 107,1
wao,Wappo,radin1929grammar,Not mentioned in the grammar,1,Not mentioned in the grammar,A Grammar of the Wappo Language,Wappo-Yukian,,Wappo,North America,"Radin, Paul",1929,202,1,0,GB 107,1
ute,Ute,sapir1992southern,Clause-medial question particle,1,Not mentioned in the grammar,Southern Paiute and Ute Linguistics and Ethnography,Uto-Aztecan,,Northern Uto-Aztecan,North America,"Sapir, Edward",1992 [1930],932,1,0,GB 107,1
yur,Yurok,garrett2014basic,"Clause-final question particle, Clause-medial question particle, Second position question particle",0,No dominant order,Basic Yurok grammar,Algic,,Yurok,North America,"Garrett, Andrew",2014,341,1,0,GB 107,0
nuk,Nuuchahnulth,davidson2002studies,Interrogative verb morphology,1,No dominant order,Studies in Wakashan (Nootkan) Grammar,Wakashan,,Southern Wakashan,North America,"Davidson, Matthew",2002,488,1,0,GB 107,1
col,Columbia-Wenatchi,willett2003grammatical,"Clause-final question particle, Clause-initial question particle",0,VOS,A Grammatical Sketch of Nxa'amxcin (Moses-Columbia Salish),Salishan,,Interior Salish,North America,"Willett, Marie Louise",2003,476,1,0,GB 107,0
hid,Hidatsa,park2012grammar,Interrogative verb morphology,1,SOV,A grammar of Hidatsa,Siouan,,Missouri River Siouan,North America,"Park, Indrek",2012,580,1,0,GB 107,1
mlu,Toqabaqita,lichtenberk2008grammar,Interrogative intonation only,0,SVO,A grammar of Toqabaqita,Austronesian,Eastern Malayo-Polynesian,Oceanic,Papunesia,"Lichtenberk, Frantisek",2008,1408,1,0,GB 107,0
ahh,Aghu,van2016aghu,Clause-final question particle,1,SOV,Aghu: annotated texts with grammatical introduction and vocabulary lists,Trans-New Guinea,Awyu-Ok,Awju,Papunesia,"van den Heuvel, Wilco",2016,859,1,0,GB 107,1
mle,Manambu,aikhenvald2008manambu,Interrogative intonation only,1,SOV,"The Manambu language of East Sepik, Papua New Guinea",Sepik,,Ndu,Papunesia,"Aikhenvald, Alexandra Y.",2008,727,1,0,GB 107,1
fqs,Momu,honeyman2016grammar,Clause-final question particle,1,SOV,"A grammar of Momu, a language of Papua New Guinea",Baibai-Fas,,Baibai-Fas,Papunesia,"Honeyman, Thomas",2017,700,1,0,GB 107,1
mkz,Makasae,huber2011grammar,"Clause-final question particle, Interrogative intonation only",0,SOV,A grammar of Makalero: A Papuan language of East Timor,Greater West Bomberai,Timor-Alor-Pantar,East Timor,Papunesia,"Huber, Juliette",2011,700,1,0,GB 107,0
siw,Motuna,onishi1994grammar,Interrogative intonation only,0,No dominant order,"A Grammar of Motuna (Bougainville, Papua New Guinea)",South Bougainville,,South Bougainville,Papunesia,"Onishi, Masayuki",2011,593,1,0,GB 107,0
lvk,Lavukaleve,terrill1999grammar,"Clause-final question particle, Clause-medial question particle",1,SOV,A Grammar of Lavukaleve,Solomons East Papuan,,Lavukaleve,Papunesia,"Terrill, Angela",2003,585,1,0,GB 107,1
kbv,Dla (Menggwa),de2006menggwa,"Clause-final question particle, Interrogative intonation only",1,No dominant order,The Menggwa Dla language of New Guinea,Senagi,,Senagi,Papunesia,"de Sousa, Hilário",2006,569,1,0,GB 107,1
duc,Duna,san2008introduction,Not mentioned in the grammar,1,SOV,An introduction to Duna grammar,Duna-Bogaya,,Duna,Papunesia,"San Roque, Lila",2008,528,1,0,GB 107,1
tuh,Taulil,meng2018grammar,Interrogative intonation only,0,SVO,A grammar of Tulil,Taulil,,Taulil,Papunesia,"Meng, Chenxi",2018,516,1,0,GB 107,0
gpn,Taiap,kulick2019grammar,"Clause-final question particle, Clause-medial question particle",0,SOV,A Grammar and Dictionary of Tayap: The Life and Death of a Papuan Language,Taiap,,Taiap,Papunesia,"Kulick, Don and Terrill, Angela",2019,516,1,0,GB 107,0
yee,Yimas,foley1991yimas,"Clause-final question particle, Interrogative intonation only",1,No dominant order,The Yimas Language of New Guinea,Ramu-Lower Sepik,,Lower Sepik,Papunesia,"Foley, William A.",1991,506,1,0,GB 107,1
kcd,Kanum (Ngkâlmpw),carroll2016ngkolmpu,Not mentioned in the grammar,0,No dominant order,The Ngkolmpu Language with special reference to distributed exponence,Yam,,Kanum,Papunesia,"Carroll, Matthew",2017,428,1,0,GB 107,1
ayz,Maybrat,dol2007grammar,Clause-final question particle,0,SVO,"A Grammar of Maybrat: a language of Bird's Head, Irian Jaya, Indonesia",Maybrat,,Maybrat,Papunesia,"Dol, Philomena Hedwig",1999,405,1,0,GB 107,0
cns,Asmat,voorhoeve1965flamingo,Clause-final question particle,0,Not mentioned in the grammar,The Flamingo Bay Dialect of the Asmat Language,Asmat-Kamrau Bay,,Asmat-Kamrau Bay,Papunesia,"Voorhoeve, Clemens L.",1965,367,1,0,GB 107,0
kto,Kuot,lindstrom2002topics,Interrogative intonation only,0,VSO,Topics in the Grammar of Kuot,Kuot,,Kuot,Papunesia,"Lindström, Eva",2002,264,1,0,GB 107,0
imn,Imonda,seiler1985imonda,"Clause-final question particle, Clause-initial question particle, Clause-medial question particle",1,No dominant order,"Imonda, a Papuan Language",Border,,Border,Papunesia,"Seiler, Walter",1985,262,1,0,GB 107,1
nir,Nimboran,anceaux1965nimboran,Not mentioned in the grammar,0,Not mentioned in the grammar,The Nimboran Language,Nimboran,,Nimboran,Papunesia,"Anceaux, Johannes Cornelis",1965,257,1,0,GB 107,0
kgr,Abun,berry1999description,"Clause-final question particle, Clause-initial question particle",0,SVO,A description of Abun: a West Papuan language of Irian Jaya,Abun,,Abun,Papunesia,"Berry, Keith and Berry, Christine",1999,248,1,0,GB 107,1
ulk,Meryam Mir,piper1989sketch,Interrogative intonation only,0,SOV,A Sketch Grammar of Meryam Mer,Eastern Trans-Fly,,Eastern Trans-Fly,Papunesia,"Piper, Nick",2013 [1989],240,1,0,GB 107,0
had,Hatam,reesink1999grammar,"Clause-final question particle, Interrogative intonation only",0,SVO,A Grammar of Hatam: Bird's Head Peninsula Irian Jaya,Hatim-Mansim,,Hatim-Mansim,Papunesia,"Reesink, Ger P.",1999,230,1,0,GB 107,1
kwo,Kwomtari,honsberger2008kwomtari,"Clause-final question particle, Clause-medial question particle",1,SOV,Kwomtari Phonology and Grammar Essentials,Kwomtari,,Kwomtari,Papunesia,"Honsberger, Murray and Honsberger, Carol and Tupper, Ian",2008,197,1,0,GB 107,1
szp,Inanwatan,de2004short,"Clause-final question particle, Interrogative intonation only",1,No dominant order,"A short grammar of Inanwatan: an endangered language of the Bird's head of Papua, Indonesia",South Bird's Head,,Inanwatan,Papunesia,"de Vries, Lourens J.",2004,168,1,0,GB 107,1
tmu,Iau,bateman2003grammatical,"Clause-final question particle, Tone",0,No dominant order,Grammatical Overview of Iau Revision 3,Lakes Plain,,Central Tariku,Papunesia,"Bateman, Janet",2021,136,1,0,GB 107,0
yuj,Karkar-Yuri,rigden1978karkar,Not mentioned in the grammar,1,SOV,Karkar Grammar Essentials,Pauwasi,,Eastern Pauwasi,Papunesia,"Rigden, Veda",no date,132,1,0,GB 107,0
yle,Yelî Dnye,henderson1995phonology,Interrogative intonation only,1,SOV,"Phonology and Grammar of Yele, Papua New Guinea",Yele,,Yele,Papunesia,"Henderson, James",1995,118,1,0,GB 107,1
set,Sentani,mayer2021grammar,Interrogative intonation only,1,SOV,A grammar sketch of Sentani,Sentanic,,Sentanic,Papunesia,"Mayer, Clemens J.",2021,105,1,0,GB 107,1
akc,Mpur,ode2002sketch,Clause-final question particle,0,SVO,A Sketch of Mpur,Mpur,,Mpur,Papunesia,"Odé, Cecilia",2002,63,1,0,GB 107,1
nux,Mehek,hatfield2016grammar,Clause-final question particle,0,SOV,A grammar of Mehek,Sepik,,Tama Sepik,Papunesia,"Hatfield, Adam",2016,644,1,0,GB 107,0
abz,Abui,kratochvil2007grammar,Not mentioned in the grammar,0,SOV,A Grammar of Abui: A Papuan Language of Alor,Greater West Bomberai,Timor-Alor-Pantar,Alor-Pantar,Papunesia,"Kratochvíl, František",2007,560,1,0,GB 107,0
aah,Arapesh (Abu),nekitel1985sociolinguistic,"Clause-final question particle, Interrogative intonation only",0,SVO,"Sociolinguistic Aspects of Abu', a Papuan Language of the Sepik Area, Papua New Guinea",Torricelli,,Kombio-Arapesh,Papunesia,"Nekitel, Otto",1985,314,1,0,GB 107,1
kpr,Korafe,farr1999interface,"Clause-final question particle, Interrogative intonation only",1,SOV,The interface between syntax and discourse in Korafe: a Papuan language of Papua New Guinea,Trans-New Guinea,Greater Binanderean,Binanderean,Papunesia,"Farr, Cynthia J. M.",1996,671,1,0,GB 107,1
amp,Alamblak,bruce1979grammar,Interrogative intonation only,1,SOV,A Grammar of Alamblak (Papua New Guinea),Sepik,,Sepik Hill,Papunesia,"Bruce and Jr. and P., Leslie",1979,572,1,0,GB 107,1
ksi,I'saka,donohue2004saka,Not mentioned in the grammar,0,SOV,I'saka: a sketch grammar of a language of north-central New Guinea,Skou,,Krisa,Papunesia,"Donohue, Mark and San Roque, Lila",2004,148,1,0,GB 107,1
uri,Urim,hemmila1987urim,Clause-final question particle,0,SVO,Urim grammar,Torricelli,,Urim,Papunesia,"Hemmilä, Ritva and Luoma, Pirkko",1987,267,1,0,GB 107,1
aau,Abau,lock2011abau,"Clause-final question particle, Clause-medial question particle",0,SOV,Abau grammar,Sepik,,Abau,Papunesia,"Lock, Arnold",2011,495,1,0,GB 107,0
cha,Chamorro,chung2020chamorro,"Clause-initial question particle, Interrogative intonation only",0,VSO,Chamorro grammar,Austronesian,,Chamorro,Papunesia,"Chung, Sandra",2020,754,1,0,GB 107,0
kmn,Awtuw,feldman1986grammar,"Clause-final question particle, Clause-medial question particle, Interrogative intonation only",1,SOV,A grammar of Awtuw,Sepik,,Ram,Papunesia,"Feldman, Harry",1983,395,1,0,GB 107,1
mpt,Mian,fedden2011grammar,"Clause-final question particle, Clause-initial question particle, Clause-medial question particle, Interrogative verb morphology",1,SOV,A Grammar of Mian,Trans-New Guinea,Awyu-Ok,Ok,Papunesia,"Fedden, Sebastian Olcher",2011,629,1,0,GB 107,1
cao,Chácobo,tallman2018grammar,"Clause-medial question particle, Interrogative verb morphology",1,No dominant order,"A Grammar of Chácobo, a southern Pano language of the northern Bolivian Amazon",Pano-Tacanan,,Panoan,South America,"Tallman, Adam J. R.",2018,1422,1,0,GB 107,1
jup,Hup,epps2005grammar,Interrogative word order,1,SOV,A Grammar of Hup,Nadahup,,Nadahup,South America,"Epps, Patience",2005,1134,1,0,GB 107,1
xwa,Kwaza,voort2004grammar,"Interrogative intonation only, Interrogative verb morphology",1,No dominant order,A Grammar of Kwaza,Kwaza,,Kwaza,South America,"van der Voort, Hein",2004,1064,1,0,GB 107,1
hub,Huambisa,pena2015grammar,Not mentioned in the grammar,1,SOV,A grammar of Wampis,Jivaroan,,Jivaroan,South America,"Peña, Jaime G.",2015,971,1,0,GB 107,1
cod,Cocama,vallejos2010grammar,"Interrogative intonation only, Interrogative word order, Second position question particle",0,No dominant order,A grammar of Kokama-Kokamilla,Tupian,,Maweti-Guarani,South America,"Vallejos Yopán, Rosa",2010,947,1,0,GB 107,0
tri,Tiriyo,meira1999grammar,Interrogative intonation only,0,OVS,A Grammar of Tiriyó,Cariban,,Cariban,South America,"Meira, Sérgio",1999,726,1,0,GB 107,0
tca,Ticuna,bertet2020aspects,Not mentioned in the grammar,0,No dominant order,"Aspects of Tikuna grammar (San Martín de Amacayacu variety, Colombia): Phonology, nominal phrase, predicative phrase",Ticuna,,Ticuna,South America,"Bertet, Denis",2020,668,1,0,GB 107,0
huu,Huitoto (Murui),wojtylak2020grammar,Interrogative intonation only,1,SOV,A Grammar of Murui (Bue): A Witotoan language of Northwest Amazonia,Witotoan,,Witoto,South America,"Wojtylak, Katarzyna I.",2017,637,1,0,GB 107,1
iqu,Iquito,lai2009time,Interrogative intonation only,0,SVO,Time in the Iquito Language,Zaparoan,,Zaparoan,South America,"Lai, I-Wen",2009,629,1,0,GB 107,0
mzp,Movima,haude2006grammar,Interrogative intonation only,0,No dominant order,A Grammar of Movima,Movima,,Movima,South America,"Haude, Katharina",2006,614,1,0,GB 107,0
boa,Bora,thiesen2012grammar,Clause-initial question particle,1,No dominant order,A Grammar of Bora with Special Attention to Tone,Boran,,Boran,South America,"Thiesen, Wesley and Weber, David",2012,583,1,0,GB 107,1
pav,Wari',kern1997wari,Interrogative intonation only,1,VOS,Wari': the Pacaas Novos language of Western Brazil,Chapacura-Wanham,,Chapacura-Wanham,South America,"Everett, Daniel L. and Kern, Barbara",1997,530,1,0,GB 107,1
ayr,Aymara (Central),wexler1967beginning,"Clause-final question particle, Clause-medial question particle",1,SOV,Beginning Aymara. A course for English speakers,Aymaran,,Aymaran,South America,"Wexler, Paul",1967,502,1,0,GB 107,1
tpy,Trumai,guirardello1999reference,"Clause-final question particle, Clause-medial question particle, Interrogative intonation only",0,No dominant order,A Reference Grammar of Trumai,Trumai,,Trumai,South America,"Guirardello, Raquel",1999,475,1,0,GB 107,0
apn,Apinayé,de2005language,"Clause-initial question particle, Interrogative intonation only",0,SOV,The Language of the Apinajé People of Central Brazil,Macro-Ge,Je,Je Setentrional,South America,"Cunha de Oliveira, Christiane",2005,445,1,0,GB 107,0
yad,Yagua,payne1985aspects,Second position question particle,0,No dominant order,Aspects of the Grammar of Yagua: A Typological Perspective (Peru),Peba-Yaguan,,Peba-Yaguan,South America,"Payne, Doris Lander",1985,441,1,0,GB 107,0
cbv,Cacua,bolanos2016grammar,Clause-final question particle,1,SOV,A Grammar of Kakua,Cacua-Nukak,,Cacua-Nukak,South America,"Bolaños, Katherine",2016,415,1,0,GB 107,1
yuz,Yuracare,van2006grammar,Interrogative intonation only,0,No dominant order,A Grammar of Yurakaré,Yuracare,,Yuracare,South America,"van Gijn, Erik",2006,372,1,0,GB 107,0
kvn,Kuna,forster2011paya,Interrogative intonation only,1,SOV,Paya Kuna: An introductory grammar,Chibchan,,Kuna,South America,"Forster, D. Keith",2011,331,1,0,GB 107,1
ure,Uru,hannss2008uchumataqu,"Clause-final question particle, Interrogative word order",0,SOV,Uchumataqu: The lost language of the Urus of Bolivia. A grammatical description of the language as documented between 1894 and 1952,Uru-Chipaya,,Uru-Chipaya,South America,"Hannß, Katja",2008,330,1,0,GB 107,0
kbh,Camsá,o2018grammatical,"Clause-final question particle, Interrogative verb morphology",1,No dominant order,A grammatical description of Kamsá: A language isolate of Colombia,Camsá,,Camsá,South America,"O'Brien, Colleen Alena",2018,278,1,0,GB 107,1
wba,Warao,romero1997reference,Interrogative verb morphology,1,OSV,A Reference Grammar of Warao,Warao,,Warao,South America,"Romero-Figeroa, Andrés",1997,141,1,0,GB 107,1
cui,Cuiba,berg1973cuiva,Not mentioned in the grammar,1,SOV,The Cuiva language grammar,Guahiban,,Guahiban,South America,"Berg, Marie and Kerr, Isabel",1973,112,1,0,GB 107,1
apu,Apurinã,facundes2000language,Interrogative intonation only,1,SVO,The Language of the Apurinã People of Brazil (Maipure/Arawak),Arawakan,,Purus,South America,"Facundes, Sidney da Silva",2000,705,1,0,GB 107,1
kbc,Kadiwéu,sandalo1995grammar,Not mentioned in the grammar,1,No dominant order,A Grammar of Kadiweu,Guaicuruan,,Kadiwéu,South America,"Sandalo, Maria Filomena",1995,291,1,0,GB 107,1
kpj,Karajá,ribeiro2012grammar,Second position question particle,1,SOV,A grammar of Karajá,Macro-Ge,,Karajá,South America,"Ribeiro, Eduardo Rivail",2012,301,1,0,GB 107,1
spp,Supyire,carlson1994grammar,Clause-initial question particle,1,SOV,A Grammar of Supyire,Niger-Congo,,Senufo,Africa,"Carlson, Robert",1990,1048,1,1,GB 107,1
djm,Jamsay,heath2008grammar,Clause-final question particle,1,SOV,A grammar of Jamsay,Dogon,,Dogon,Africa,"Heath, Jeffrey",2008,755,1,1,GB 107,1
mhi,Ma'di,blackings2003grammar,Tone,0,No dominant order,A Grammar of Ma'di,Central Sudanic,,Moru-Ma'di,Africa,"Blackings, Mairi and Fabb, Nigel",2003,750,1,1,GB 107,1
dba,Bangime,hantgan2013aspects,Clause-final question particle,1,No dominant order,"Aspects of Bangime Phonology, Morphology, and Morphosyntax",Bangime,,Bangime,Africa,"Hantgan, Abbie",2013,550,1,1,GB 107,1
guk,Gumuz,ahland2012grammar,"Clause-final question particle, Interrogative intonation only",1,SVO,A grammar of Northern and Southern Gumuz,Gumuz,,Gumuz,Africa,"Ahland, Colleen Anne",2012,506,1,1,GB 107,1
khq,Koyra Chiini,heath1999grammar,"Clause-initial question particle, Interrogative intonation only",0,SVO,A Grammar of Koyra Chiini: The Songhay of Timbuktu,Songhay,,Songhay,Africa,"Heath, Jeffrey",1999,467,1,1,GB 107,0
sif,Seme,toews2015topics,Clause-final question particle,0,SOV,Topics in Siamou tense and aspect,Siamou,,Siamou,Africa,"Toews, Carmela I. P.",2015,432,1,1,GB 107,1
tms,Tima,mubarak2009tima,Not mentioned in the grammar,1,SVO,Tima Word Structure (Noun and Verb),Kordofanian,,Katla-Tima,Africa,"Alamin Mubarak, Suzan",2009,344,1,1,GB 107,1
knw,!Xun (Ekoka),heine2015xun,"Clause-final question particle, Second position question particle",1,SVO,The !Xun Language: A Dialect Grammar of Northern Khoisan,Kxa,,Ju-Kung,Africa,"Heine, Bernd and König, Christa",2015,342,1,1,GB 107,1
xtc,Katcha,turner2016morphosyntax,Not mentioned in the grammar,0,No dominant order,Morphosyntax of Katcha nominals: a Dynamic Syntax account,Kadu,,Kadugli,Africa,"Turner, Darryl John",2016,289,1,1,GB 107,0
ijc,Ijo (Kolokuma),williamson1965grammar,Tone,1,SOV,A Grammar of the Kolokuma Dialect of Ịjọ,Ijoid,,Ijoid,Africa,"Williamson, Kay",1965,134,1,1,GB 107,1
ema,Emai,schaefer2017grammar,Interrogative intonation only,1,SVO,A grammar of Emai,Niger-Congo,Benue-Congo,Edoid,Africa,"Schaefer, Ronald P. and Egbokhare, Oisaghaede Francis",2017,1019,1,1,GB 107,1
ikx,Ik,schrock2014grammar,"Interrogative verb morphology, Tone",1,VSO,A grammar of Ik (Icé-tód): Northeast Uganda's last thriving Kuliak language,Eastern Sudanic,,Kuliak,Africa,"Schrock, Terrill",2014,747,1,1,GB 107,1
niy,Ngiti,kutsch1994ngiti,"Clause-initial question particle, Second position question particle, Tone",0,No dominant order,Ngiti: A Central-Sudanic Language of Zaire,Central Sudanic,,Lendu,Africa,"Kutsch Lojenga, Constance",1994,531,1,1,GB 107,0
sid,Sidaama,kawachi2007grammar,Interrogative intonation only,1,SOV,A Grammar of Sidaama (Sidaamo): A Cushitic Language of Ethiopia,Afro-Asiatic,Cushitic,Highland East Cushitic,Africa,"Kawachi, Kazuhiro",2007,842,1,1,GB 107,1
muz,Mursi,worku2020grammar,Interrogative intonation only,1,SVO,"A grammar of Mursi, a Nilo-Saharan language",Eastern Sudanic,Surmic,South Surmic,Africa,"Worku, Firew Girma",2020,689,1,1,GB 107,1
mpe,Majang,joswig2019majang,"Clause-final question particle, Clause-medial question particle, Tone",1,VSO,The Majang Language,Eastern Sudanic,Surmic,Majang,Africa,"Joswig, Andreas",2019,542,1,1,GB 107,1
bvq,Birri,santandrea1966birri,Not mentioned in the grammar,0,Not mentioned in the grammar,The Birri Language: Brief Elementary Notes,Central Sudanic,,Birri,Africa,"Santandrea, Stefano",1966,154,1,1,GB 107,0
taq,Tamashek,heath2005grammar,"Clause-initial question particle, Interrogative intonation only",1,VSO,A grammar of Tamashek (Tuareg of Mali),Afro-Asiatic,,Berber,Africa,"Heath, Jeffrey",2005,763,1,1,GB 107,1
cop,Coptic,reintges2018coptic,"Clause-initial question particle, Interrogative intonation only",1,SVO,Coptic Egyptian (Sahidic Dialect): A Learner's Grammar,Afro-Asiatic,,Egyptian-Coptic,Africa,"Reintges, C. H.",2018,646,1,1,GB 107,1
ibo,Igbo,emenanjo2015grammar,Tone,1,SVO,A Grammar of Contemporary Igbo,Niger-Congo,Benue-Congo,Igboid,Africa,"Emenanjo, Nolue Emmanuel",2015,672,1,1,GB 107,1
mcs,Mambai,anonby2008phonology,Clause-final question particle,0,SVO,"Phonology and Morphology of Mambay (Niger-Congo, Adamawa)",Niger-Congo,Adamawa-Ubangi,Mbumic,Africa,"Anonby, Erik John",2008,592,1,1,GB 107,0
tbi,Ingessana,stirtz2012lot,Clause-final question particle,0,SVO,"A grammar of Gaahmg, a Nilo-Saharan language of Sudan",Eastern Sudanic,,Eastern Jebel,Africa,"Stirtz, Timothy",2012,350,1,1,GB 107,1
gow,Gorowa,harvey2018gorwaa,Clause-initial question particle,1,SOV,The Gorwaa noun: Toward a description of the Gorwaa language,Afro-Asiatic,Cushitic,Southern Cushitic,Africa,"Harvey, Andrew",2018,564,1,1,GB 107,1
shj,Shatt,alfira2016caning,Not mentioned in the grammar,0,Not mentioned in the grammar,Caning Grammar Book,Eastern Sudanic,,Daju,Africa,"Alfira, David Abbi and Kafi, Timothy Kuku and Kaki, Hassan Kuwa and Hasan, Ali Alaliim and Anjo, Anjo Kuku and Jas, Dayan Kuku and Sarukh, Sadik Kafi",2016,270,1,1,GB 107,0
