ISO 639-3,Language,Filename,WALS 116A,WALS 116A: Pages,WALS 116A: PDF Pages,GB 107,GB 107: Pages,GB 107: PDF Pages,WALS 81A,WALS 81A: Pages,WALS 81A: PDF Pages,Title,Family,Subfamily,Genus,Macroarea,Author,Year,Pages,Type
yuj,Karkar-Yuri,rigden1978karkar,Not mentioned in the grammar,,,1,24,32,SOV,"92, 94","100, 102",Karkar Grammar Essentials,Pauwasi,,Eastern Pauwasi,Papunesia,"Rigden, Veda",no date,132,grammar_sketch
yle,Yelî Dnye,henderson1995phonology,Interrogative intonation only,19,27,1,55-57,63-65,SOV,14,22,"Phonology and Grammar of Yele, Papua New Guinea",Yele,,Yele,Papunesia,"Henderson, James",1995,118,grammar_sketch
set,Sentani,mayer2021grammar,Interrogative intonation only,68,69,1,53,54,SOV,47-48,48-49,A grammar sketch of Sentani,Sentanic,,Sentanic,Papunesia,"Mayer, Clemens J.",2021,105,grammar_sketch
akc,Mpur,ode2002sketch,Clause-final question particle,"51, 68","7, 24",0,79,35,SVO,"47, 54","3, 10",A Sketch of Mpur,Mpur,,Mpur,Papunesia,"Odé, Cecilia",2002,63,grammar_sketch
nux,Mehek,hatfield2016grammar,Clause-final question particle,299,315,0,319-331,335-347,SOV,Abstract,16,A grammar of Mehek,Sepik,,Tama Sepik,Papunesia,"Hatfield, Adam",2016,644,grammar
abz,Abui,kratochvil2007grammar,Not mentioned in the grammar,,,0,276-278,299-301,SOV,"11, 18","34, 41",A Grammar of Abui: A Papuan Language of Alor,Greater West Bomberai,Timor-Alor-Pantar,Alor-Pantar,Papunesia,"Kratochvíl, František",2007,560,grammar
aah,Arapesh (Abu),nekitel1985sociolinguistic,"Clause-final question particle, Interrogative intonation only","55, 99","69, 113",0,101,115,SVO,94,108,"Sociolinguistic Aspects of Abu', a Papuan Language of the Sepik Area, Papua New Guinea",Torricelli,,Kombio-Arapesh,Papunesia,"Nekitel, Otto",1985,314,grammar
kpr,Korafe,farr1999interface,"Clause-final question particle, Interrogative intonation only",147-150,167-170,1,137,157,SOV,15,35,The interface between syntax and discourse in Korafe: a Papuan language of Papua New Guinea,Trans-New Guinea,Greater Binanderean,Binanderean,Papunesia,"Farr, Cynthia J. M.",1996,671,grammar
amp,Alamblak,bruce1979grammar,Interrogative intonation only,107-110,117-120,1,"297-299 (apart from the negative particle, the irrealis affix on the verb is mandatory) ",307-309,SOV,"3, 293","13, 303",A Grammar of Alamblak (Papua New Guinea),Sepik,,Sepik Hill,Papunesia,"Bruce and Jr. and P., Leslie",1979,572,grammar
ksi,I'saka,donohue2004saka,Not mentioned in the grammar,,,0,82,100,SOV,85,103,I'saka: a sketch grammar of a language of north-central New Guinea,Skou,,Krisa,Papunesia,"Donohue, Mark and San Roque, Lila",2004,148,grammar
uri,Urim,hemmila1987urim,Clause-final question particle,"42, 65, 78, 89, 138","42, 65, 78, 89, 138",0,75-77,75-77,SVO,169,169,Urim grammar,Torricelli,,Urim,Papunesia,"Hemmilä, Ritva and Luoma, Pirkko",1987,267,grammar
aau,Abau,lock2011abau,"Clause-final question particle, Clause-medial question particle",286-287,300-301,0,238-241,252-255,SOV,201,215,Abau grammar,Sepik,,Abau,Papunesia,"Lock, Arnold",2011,495,grammar
cha,Chamorro,chung2020chamorro,"Clause-initial question particle, Interrogative intonation only",487-488,512-513,0,371-375,396-400,VSO,61,86,Chamorro grammar,Austronesian,,Chamorro,Papunesia,"Chung, Sandra",2020,754,grammar
kmn,Awtuw,feldman1986grammar,"Clause-final question particle, Clause-medial question particle, Interrogative intonation only",142-143,148-149,1,57,63,SOV,87,93,A grammar of Awtuw,Sepik,,Ram,Papunesia,"Feldman, Harry",1983,395,grammar
mpt,Mian,fedden2011grammar,"Clause-final question particle, Clause-initial question particle, Clause-medial question particle, Interrogative verb morphology",385-389,411-415,1,158,184,SOV,"9, 331, 363","35, 357, 389",A Grammar of Mian,Trans-New Guinea,Awyu-Ok,Ok,Papunesia,"Fedden, Sebastian Olcher",2011,629,grammar
cao,Chácobo,tallman2018grammar,"Clause-medial question particle, Interrogative verb morphology",223-228,266-271,1,217,260,No dominant order,"313, 523","356, 566","A Grammar of Chácobo, a southern Pano language of the northern Bolivian Amazon",Pano-Tacanan,,Panoan,South America,"Tallman, Adam J. R.",2018,1422,grammar
jup,Hup,epps2005grammar,Interrogative word order,784,801,1,874-876,891-893,SOV,905,912,A Grammar of Hup,Nadahup,,Nadahup,South America,"Epps, Patience",2005,1134,grammar
xwa,Kwaza,voort2004grammar,"Interrogative intonation only, Interrogative verb morphology",297,335,1,519,557,No dominant order,91,129,A Grammar of Kwaza,Kwaza,,Kwaza,South America,"van der Voort, Hein",2004,1064,grammar
hub,Huambisa,pena2015grammar,Not mentioned in the grammar,,,1,637,677,SOV,711,751,A grammar of Wampis,Jivaroan,,Jivaroan,South America,"Peña, Jaime G.",2015,971,grammar
cod,Cocama,vallejos2010grammar,"Interrogative intonation only, Interrogative word order, Second position question particle",537-542,566-571,0,"171-172, 530-535","200-201, 559-564",No dominant order,"44, 342","73, 371",A grammar of Kokama-Kokamilla,Tupian,,Maweti-Guarani,South America,"Vallejos Yopán, Rosa",2010,947,grammar
tri,Tiriyo,meira1999grammar,Interrogative intonation only,560,581,0,558-559 (error in Grambank?),579-580,OVS,582,603,A Grammar of Tiriyó,Cariban,,Cariban,South America,"Meira, Sérgio",1999,726,grammar
tca,Ticuna,bertet2020aspects,Not mentioned in the grammar,,,0,519-522 (error in Grambank?),524-527,No dominant order,51,56,"Aspects of Tikuna grammar (San Martín de Amacayacu variety, Colombia): Phonology, nominal phrase, predicative phrase",Ticuna,,Ticuna,South America,"Bertet, Denis",2020,668,grammar
huu,Huitoto (Murui),wojtylak2020grammar,Interrogative intonation only,475-476,500-501,1,429,454,SOV,312,337,A Grammar of Murui (Bue): A Witotoan language of Northwest Amazonia,Witotoan,,Witoto,South America,"Wojtylak, Katarzyna I.",2017,637,grammar
iqu,Iquito,lai2009time,Interrogative intonation only,170,188,0,51-61,69-79,SVO,45-46,63-64,Time in the Iquito Language,Zaparoan,,Zaparoan,South America,"Lai, I-Wen",2009,629,grammar
mzp,Movima,haude2006grammar,Interrogative intonation only,"51-52, 127, 313","74-75, 150, 336",0,316-317,339-340,No dominant order,258,281,A Grammar of Movima,Movima,,Movima,South America,"Haude, Katharina",2006,614,grammar
boa,Bora,thiesen2012grammar,Clause-initial question particle,349,383,1,326,360,No dominant order,Preface: xxvii,27,A Grammar of Bora with Special Attention to Tone,Boran,,Boran,South America,"Thiesen, Wesley and Weber, David",2012,583,grammar
pav,Wari',kern1997wari,Interrogative intonation only,11-14,24-27,1,"50, 168-173 (verb compound)","63, 181-186",VOS,"7, 128","20, 141",Wari': the Pacaas Novos language of Western Brazil,Chapacura-Wanham,,Chapacura-Wanham,South America,"Everett, Daniel L. and Kern, Barbara",1997,530,grammar
ayr,Aymara (Central),wexler1967beginning,"Clause-final question particle, Clause-medial question particle","3, 37","28, 62",1,25,50,SOV,61,86,Beginning Aymara. A course for English speakers,Aymaran,,Aymaran,South America,"Wexler, Paul",1967,502,grammar
tpy,Trumai,guirardello1999reference,"Clause-final question particle, Clause-medial question particle, Interrogative intonation only",230,258,0,232-236,260-264,No dominant order,228-229,256-257,A Reference Grammar of Trumai,Trumai,,Trumai,South America,"Guirardello, Raquel",1999,475,grammar
apn,Apinayé,de2005language,"Clause-initial question particle, Interrogative intonation only",226,240,0,248-253,262-267,SOV,Abstract: v,5,The Language of the Apinajé People of Central Brazil,Macro-Ge,Je,Je Setentrional,South America,"Cunha de Oliveira, Christiane",2005,445,grammar
yad,Yagua,payne1985aspects,Second position question particle,91-92,114-115,0,86-91,109-114,No dominant order,25-26,48-49,Aspects of the Grammar of Yagua: A Typological Perspective (Peru),Peba-Yaguan,,Peba-Yaguan,South America,"Payne, Doris Lander",1985,441,grammar
cbv,Cacua,bolanos2016grammar,Clause-final question particle,328-329,349-350,1,"106, 249","128, 271",SOV,305,326,A Grammar of Kakua,Cacua-Nukak,,Cacua-Nukak,South America,"Bolaños, Katherine",2016,415,grammar
yuz,Yuracare,van2006grammar,Interrogative intonation only,288,303,0,286-290,301-305,No dominant order,"12, 93, 143","27, 108, 158",A Grammar of Yurakaré,Yuracare,,Yuracare,South America,"van Gijn, Erik",2006,372,grammar
kvn,Kuna,forster2011paya,Interrogative intonation only,"25 (error in Grambank, the verbal suffix indicates a leading question)",38,1,206,219,SOV,19,32,Paya Kuna: An introductory grammar,Chibchan,,Kuna,South America,"Forster, D. Keith",2011,331,grammar
ure,Uru,hannss2008uchumataqu,"Clause-final question particle, Interrogative word order",280-281,297-298,0,262-265,279-282,SOV,"5, 139, 142, 276","22, 156, 159, 293",Uchumataqu: The lost language of the Urus of Bolivia. A grammatical description of the language as documented between 1894 and 1952,Uru-Chipaya,,Uru-Chipaya,South America,"Hannß, Katja",2008,330,grammar
kbh,Camsá,o2018grammatical,"Clause-final question particle, Interrogative verb morphology",229-230,242-243,1,222-223,235-236,No dominant order,27-29,40-42,A grammatical description of Kamsá: A language isolate of Colombia,Camsá,,Camsá,South America,"O'Brien, Colleen Alena",2018,278,grammar
wba,Warao,romero1997reference,Interrogative verb morphology,22-23,29-30,1,27,34,OSV,"8, 36","15, 43",A Reference Grammar of Warao,Warao,,Warao,South America,"Romero-Figeroa, Andrés",1997,141,grammar
cui,Cuiba,berg1973cuiva,Not mentioned in the grammar,,,1,"14, 22","24, 32",SOV,"11, 12","21, 22",The Cuiva language grammar,Guahiban,,Guahiban,South America,"Berg, Marie and Kerr, Isabel",1973,112,grammar_sketch
apu,Apurinã,facundes2000language,Interrogative intonation only,536,567,1,530-533,561-564,SVO,53,84,The Language of the Apurinã People of Brazil (Maipure/Arawak),Arawakan,,Purus,South America,"Facundes, Sidney da Silva",2000,705,grammar
kbc,Kadiwéu,sandalo1995grammar,Not mentioned in the grammar,,,1,46-47,56-57,No dominant order,64-66,74-76,A Grammar of Kadiweu,Guaicuruan,,Kadiwéu,South America,"Sandalo, Maria Filomena",1995,291,grammar
kpj,Karajá,ribeiro2012grammar,Second position question particle,65,76,1,62-63,73-74,SOV,41,52,A grammar of Karajá,Macro-Ge,,Karajá,South America,"Ribeiro, Eduardo Rivail",2012,301,grammar
